Delegator,Amount
cosmos1a609nha5vkwpkh2w7m8jwlgzf7jsegxlv7kuk8,134.33244
cosmos1xywlj4ygymw7tta7t9lapjxxas3a4ucdsjfnee,11.444013
cosmos1024tj5qqkuh2wnzajw25pxeuvpekzdm2p0ee44,3.732914
cosmos1dt6mcuww4ve9g96jmdxlg0qsa4zfmpg0w9v8sm,45.137047
cosmos18zlqzdx4qxtaem2r5lkxl0kwgk4qaldn7hp8kw,0.000001
cosmos1zwxjwzstdxxxg2zhlm78kwrkuk69q6qx8unefr,5.253936
cosmos17plszwvgf3m3r7z7must7nl8a9a90lw9326j7e,252.425862
cosmos1gx6eyk2ekq7g7t743flarcysqteuu94gp34fpu,21
cosmos1q5ry0km6gtmk2ly3e4ex7z6zapkgz96vfr3zk2,2.159
cosmos1ar0yw93aanygu5d9zck6ldcgtxdfm8xetfuz7j,5.769538
cosmos1g70adtkgravt2ywavmfmukw9kat04cqfrmew43,0
cosmos1ytfld3htxmp6fa2njvhculn4ka92mthda952j5,2.592104
cosmos178kg92z8l3pzhmsykux8zy3yxfvv0h2jdg9lkc,0.001936
cosmos1vec7xuv948nh9xd98clzg3gz9tv0wzzl3pwwmh,13.614639
cosmos1c73yqpsmgc55x803nf4ejlhyhcpsfz4de45sls,3.995
cosmos1ppyj6achk4an4443q7l30vx8cagm0nckp5qwsk,0.000001
cosmos194z86rs7r6mjmhhfzkpfxcredhdnxusxd7fv7h,8.085048
cosmos19u5qeedzl76jp0dv5lhyccc2dht55e2wqmmm5q,365.31750800000003
cosmos1qvgt3p4yman4pwjq33554u50ywl3plqgsgjuss,4.899789
cosmos1f29e225hts24rqeejwtpg8ukzm73s7dt230c7m,18.404363
cosmos1lu88p6ujyepvlnh55gk0lgkqnvj92afjh7wp7s,53
cosmos1y4avjmmkdtspqcg3ka5qvhm2cgvklnt6jp5jrm,0.000001
cosmos1p8p2m04mfvw238vza7w87xh277r77wlmsss34t,18.172419
cosmos1y3twm3npus2n389xd32anhwm5yhcna9800j8y7,813.979032
cosmos19hsw2wmphamew9s6ep50syk826v8wl5gqcsus6,7.409
cosmos1k8ytrj6e0cvlpl9lstpv6fdmvzmm4l5u8ju7hg,4327.09399
cosmos1wayu8p0hvvya562qltllz3a3a2995jlu89gmn9,54.24185
cosmos18ag9lrxujjg8mpzqvslmyvu9n4pwwuv3q3dt7p,161.148774
cosmos1u7llvqmrcur5ttmxsdjgk22397mhqy4v8lpx78,120.150899
cosmos1le9skfk7m6564ltcmjc4m62nevactpkdymxpcn,234.000004
cosmos1z57g92gqnwdsjqw4vy7v2dvnfvns6tamvaq30n,129.375228
cosmos1m6xmmjmrhxusvn0djy0g45n5lue0pvhc0fu4e5,2457.4645499999997
cosmos1n9xy7k5nye2ntsyzxu38g5jhyugruvq95tlxzx,2.83
cosmos1fmk0gjky78qq8f0u72h23tqdu0zj7lyp7a0vp3,0.08
cosmos1gahr6qymf47xu2xwvmpr2vq058kuh948anyqu5,0.000001
cosmos1v04g8lszz7t9vyu6zwg823sgp8p9gk7pyl3jmg,0.009999
cosmos13pm8s50mszz92yccm0n45aycq5t53hrhxwajfm,257.133501
cosmos1txqxnmjygwy2jzwnmxcukkmya585uj8fpa3n26,13.895284
cosmos10czx9wxlt0ttpzcftjrannpp39h7r3yfdfthpc,7533.266784
cosmos10unsxcucsvshu7mgevs3a73aaqkmlctf4mvzes,2.781206
cosmos1ecmgl4yd4kdzkvwy5v3j3v8k6us08ewjzdtekr,1.82358
cosmos1dy9r9fmlq6angusxpp5yydr2cw7vwvwm3v8vrc,103.202141
cosmos1g342ndulq685k00yxcnxcle8rakftu50svsg30,5.427969
cosmos12nkm8rtayxe2dj8dasvqjh6f7hag2e7s2r8gzg,4.9475
cosmos1pwfa7gmjay44lt2mn82f543cgveujg3nwz4kgq,1137.922394
cosmos1xg4anrq8wsl06k957lh96h3p5wxhy8f5ue2z9u,2.01352
cosmos1p85g2pgkc2ngn8y5mugd89j7p8kcfnv4zp47wx,10.263443
cosmos1g8yh5uzdcc3a6rhe4fdxyu7dtzknzevypypf88,16.298253
cosmos18n0tgj7zd6ajvjfexfvktfqahyqx32dckeejcx,35.974
cosmos144rttd9hh9s83fq6uzczjp46e7wdx8yf3q7uyu,18.543301
cosmos1pk770rynsw9tpqvyczg92d2egkpk3zrhy930kg,11.489343
cosmos19jl0qd0ucxq7y7ash3lnd9rfx0acfk9fas7k5r,0.157004
cosmos1xehesdfalsxv2gh7klnq2wcwj4akkd8n5qag35,38.950539
cosmos1y609rwth5mrrmpgrhvj4fx5et9zafzcgyhdrye,442.583009
cosmos13mcn3lf74tv3z98jf0m63vvjgqhxlcsk3geq72,0.487083
cosmos186vd9d0th3wgnuk7wsnet2j76fqnmk0s4myatz,52.078194
cosmos1gsh986nsjsf4e5575gqep2udkvucq5pf52x2kr,0.000001
cosmos1ud96e32295tv72schhrz43xn0ghtvxus3z0fxx,173.196862
cosmos1g8d3gdm5phz4aq97mvc8ruwy3ktwgtr8zumfud,7.125
cosmos1ywx8c6qjnkxuhs9xxwcj5uqvpc4r9x2wtqfxe3,74.51265000000001
cosmos17uc4f256v8lrclwj0anzgwlt5r0jdk8jnye67v,73.98747
cosmos1wc9agr5y5hg3u8a786xxusaufzswwm6nz2uqdd,0.001
cosmos1qz5x72xylqmp87hyhdt8t8jsfr449avjcnm2t2,181
cosmos1v8whwqefyhqj0lmygjp2w73sgxtzhvhkgphjdu,226.776238
cosmos17lz50wu46994mqdvnsa2gcl9fwafz8qq6l26l7,1650.1267520000001
cosmos1rjpqx98zw26a6q83af88gqgddrmg8xlutefspl,0.000001
cosmos1vcgee0kgesk48x0k6shc7q9xtt57shqc2dgjk9,6.431739
cosmos1vyrnvtjq24sdzxmsvtapaedhzdgggxc99gm7c3,37.956
cosmos1nacxcera744slwr6xpp5pfegu7kf6f0x9lq7zh,83.105828
cosmos1yync5vfj790zj0udha0ep5g3rknwyzepxpe9my,1000.000001
cosmos1nqdjdwrdgjevmccpg5uc35mpyfhlrcmrhjkztq,0.100981
cosmos1edl2wsm9aalr9233lf2f8cdjeqdvtecerj2ffg,30.380629
cosmos1a9fphvfk9hzxaszm7w42r392dxhqsp6863v6xw,135.900798
cosmos1xul5g603w5th3zjnrkfzhmlfzdqg7q9thjdn7k,71.360638
cosmos19072ddj4xu6s5uaqvt5cxnvfe5c3ceun6g0vyn,353.120532
cosmos1v5l9p868wtf3xke2th4z73ewne3y3ydw8lz9vu,10122.724187
cosmos1pmgcggtcfdnte53elwnd46uy0kzq2pzn7ht022,13.374642
cosmos1gfryxnpva5qxq9qn3udr50sdgqzpf7unclw6lu,10.611049999999999
cosmos1rcsfqgzryzj6etxlu4rq5e8c4kdg6dpnzf43j8,4.001156
cosmos1pv0m3zhd26egx9wmsjdul4z9ur6zqnh8razaul,4.959315
cosmos16n8jeead29uf70e5z5rwsry3tptv0e3gcuz9yr,41.887936
cosmos1kw29twpkjazwed5pegnvmw5uyaru63wg2s6lgu,348
cosmos18k8qxmuk2j58yqyht9clc543njxkjgqtgfjwqy,200.044456
cosmos13awjpc64z0kqmar3696ny3jmpmnlgg6evmkw47,287.713172
cosmos1j8rl94hnm7x7w42k40zxgv8e0zpd83wvk2dvju,12.728196
cosmos1j2zh00f9pkm9ky9hpc20s97gkrp8uzqgdqw8n3,10.64017
cosmos1zqujdtpqr06ftqwn2y7qga9aevs6k66wpscyzj,0.000001
cosmos1rd6qnxvg37t0c94eql5mjgg22gfqtg28dfdx7e,89.833874
cosmos17wy5vd8759a4309y78rzwqzku4aysjxh0l88qc,86.22125199999999
cosmos1gg844sy7lsaus7f9jzgk7ur9j63j2qdmy5sd00,0.000001
cosmos120h84pw88874fj7uyy3y48gtg7cungqfr969zj,0.9116
cosmos1jmw2f5te6hms63ch382tfladmej67z092tkyfw,6.983
cosmos1dyqyykspd53ed0z4020xqerpv03n2dua5jhywp,20
cosmos1snwepsdqqfwmnknscvfymgxz07utj8ryscdphl,112.695081
cosmos1y5p3hyx0c24p7tvc089hwt77mdwv58ernnhm84,110.722106
cosmos1rusue32248jln4js647sfv3lng85rd7fxd3fjg,55
cosmos1er27vlkzxu082m6kajcs9pemrhaefxcamfkthx,17.2756
cosmos16f86luh95062ah9wevlgmpmkw0dc68e9qdzway,0.056146
cosmos1hjat4pts50erxeuz0c4dqrs765xnhggxhfhua3,1743.338007
cosmos19dclapjjc769cpndeaptmht3l2ggcad75mjn59,102.882
cosmos1gzjcf6s9zfdug6l48qx34qsy7gjshwfw5e340s,0.000001
cosmos1n5ka7cpxnrhgpy7hawk78dst037klhxkfq6snf,94.376804
cosmos1xh6efnqgdl55tyrz3zsp2u7cnf4m3crs5yazjw,18.300711
cosmos10uj2xaxcrwtantgrye8mucj7tzhu0h3zycdrra,65.229958
cosmos1m3xhzm49ju5nrmfscv9ddh77gmzunw9qmw6hgm,0.000028
cosmos1qs2nfflu6cskzgsfa8kwrja5lv8hs96r0fltra,2.338315
cosmos1x99yv22y4wfnnmrgaaylvrprrz8n7qa4y8kqs5,8.544095
cosmos1yk8j65uf0zl6387gnf37373fvnsxje4k8xxysq,1.106107
cosmos1svt220l9svlvmtmldn877fvzrhzm0rnstegf2c,20.095
cosmos18cyjy473t2pn9mgf2eyushh0c98y36dgwyfgld,1.992
cosmos12pxly0mm2hnglcc6awyppeyqvuyugqt0gt8zrf,9.113662
cosmos1td2ftv0vaczp278g9ugs5cxcckcmfpn4xumcyq,0.192158
cosmos15hvcpdtf3u08ykkeusgde66rswf53km98a6ajh,7.740934
cosmos1t8wqxlkfxle8ndj92vvmn6ph363t05tn8eect3,0.001
cosmos1qcsx2wfrhet4ckaan6u2r076zsp389rtq0tajw,9.943609
cosmos13pzeemah2mzgm57d5pt3neutnm3u9vp82j3l64,468.837288
cosmos1y6p4dthg0xczdfacwyvttnkpy0vmhuqwlpylel,1.990592
cosmos1tqtcfe2z989ut8a7phr6d67l9cekh7rq2axx3m,3.306467
cosmos1zxlrrt4tx4nc9x8a5tlzszqjwlqs0k78kpkjvl,0.186212
cosmos15hz829wam3wc3k9jlhdrwwdl93050k29wr2fwk,114.441033
cosmos1tzc792mprrn4hurz5rtgf8saraynd7s6r8r0se,13.1394
cosmos1ade3necd49x4q8j562jh30t5k5agvrl3wnknp9,1403.14
cosmos1dunhr3mg2j9g2n8neghnze4pvdg0sa7gr6f5yn,0
cosmos19y8pcm09ahwchggeehr5xhdlvyevwv6x7ykq5a,50
cosmos1lgyh0r3u02t2adae35pvuazm7th9c6fc7ajzmq,181.088809
cosmos1eqqgt0c2ws6w22vwvnpvd2d60l53y6g0v6cjf9,3.757398
cosmos10kqz6dd96vjv3s3k3t9ecet3lhz65jxaysdv3p,45.786169
cosmos1krvd0k00v873jlpvq9uqx7zvkfpqdj5cz0n3cv,0.503491
cosmos193k2yc2gk60jdvlw9awjj5wnp3vmx2h5kqh5kh,5.504013
cosmos1f8k8wze4qju45nfar0clru4tnug957hwdmnw26,0.4
cosmos1kz6my0ve5egteecqeu0zlsej9tceyy8876as8k,23.887335
cosmos12996rsl8dzknr3p9kk9hdnsnugzmmvumfp6swa,61.561662999999996
cosmos134z3lkvhd8thjhytd62zsa2gfm75tay0rfxah5,32.24771
cosmos1hcyc3n34y2rcata6zgrxh96d56jenxsdkval0n,110
cosmos1sxdl506auqlu70xtdyddatnkjfqchh6m06yq6h,4.9925
cosmos1rgpeg0vye332kmamsrcnnpu5mpggkufhavm8ur,4.376623
cosmos1h6cqfs98ly3q9r394twpvnfwjkv8kz0cxhkpu8,0.279148
cosmos1lm8cpys8jd8xflm6e30hwv7xw0y52qdmzgq94a,0.009999
cosmos160v67h4lh3k7r4dem36y4tk5mmfn4ne2tdd2x7,0.52867
cosmos1scjwnrrahhew8g59vjqyl7qtxrlee6gk4qyev5,1.9
cosmos1he6k04vywxanutefeumfz4pkr65uw7sd9s5wa0,69.794
cosmos17zud8gtv5lkz2t740dfu9jgzm48ly9axggnkrx,120.886202
cosmos15mj8w79uf7gyxr7mnejz9k57ykcp4lc3mz3wly,75.651111
cosmos1ww2hzchueq6dp948mz75xn343qclthr6lyzt9z,8
cosmos1pmyzxezgxgwyhpvpd7tvwf88cjckrqm0rpl3lr,95.565183
cosmos1xnsklk0xxxqaaqsxf559dwq8839y83w6ql7q4h,0.000001
cosmos1e0c47u0ehmgutyyz9dllzdkvfedf2apvygcg5k,334625.203801
cosmos1yrznlkz2fgfeq6puv8ejtym6a66ekv6wrcnexh,474.236386
cosmos1yk5004azvfttsy8fa67m49dl8rnv2ruqsafypc,0
cosmos1tx5d9tna9zsnklm7v407tjrr6nlx7erq3laljq,1295.326707
cosmos1v0azr7x2anxfgy44d0jt9m83lgz024anzvrra4,34.8965
cosmos1xtmweemen8p0tpha273vx94kxx7u5xy9f9d6sk,5
cosmos188lx75necx27jlnffkfpzse9ryal2dddu637et,605.7059519999999
cosmos1gyuvwwl2z8jvcq2dur8c7qcu4jdsk4z7fswmnj,110
cosmos1s2tefaq32cykln234ja5qnevd2spzchtpdcmfx,122.342033
cosmos1qk0xpmyzrltmx98nfhemt32p38ue0suya44tva,10.997005
cosmos1m6sf5rh2rsx5uu66gegek7s0dkqul65qtaqtav,0.150643
cosmos1zcx2jh6xrcf9psg7gqvhy7heh9fqyx5hxyhs09,42.389255
cosmos1f2nv6kl7lkprqdt6jzgf2uskc5zvrptwyldumh,51.8925
cosmos1d098uwczjs3gk84npzmsm4uqydwcgrxc8k6cvc,39
cosmos146kx8cv4ctfr9gql55m6dna474xs0zxumq4lvv,6.882
cosmos1y4jjwr9d4w0dg8wve6fn9wfgrgr3armjv2d3p2,224195.567256
cosmos1zv289fzmegsdl6vzywuj3v4uykntvl49wus9t5,20.778
cosmos157krkesa4rchaes5ud3e3s8klnrg8pkz6dj4u5,45.300456
cosmos1r7c8kw82xdw99l0vemxcdg6uggyvlhq3n7ewea,10.902633
cosmos1j9nd6k8dv59s5etsgld6tuer5gsvjrxekuqdey,372.308161
cosmos1n50r72fklngtrg88e2c36u7ykjaeva4lzlf36t,5.7853259999999995
cosmos1ru0t5dqtet7ymdhmyrg52dx87k2xrt7uatjakp,90.68494799999999
cosmos12m5kvn89qlxeg9u7vnfp5v66rd8ke5ydxf2glf,4.794
cosmos1cpd82jht5www80fuu62u069stqzfu3c7wqq2e2,6.8
cosmos1sjmfrfd2w8xhc85j6zqvek53xgznt7zy8efhfg,0.000001
cosmos1ncay4z3xkpymmgjr9mncykhlq8zrrvyx32ftd4,0.000001
cosmos1rk4zu8yay6m88h8y454djvqzphssrv9hmf5rfy,0.325025
cosmos1fkr7emqnsvml79jmwffgt4tdvlch2c26aj7d3w,40.503844
cosmos1hx48sqpe52vf62phcaxn6p7qtf6xec7jlyfhsn,2208.774335
cosmos1vaqcx7a082pmu9qpecaauvrftrwmhzg2th6czw,242.705946
cosmos1rqhy5mt0dk07eehjclr7lmuh323e9vnwrth7j0,115.440674
cosmos16ekc8jqcawpmp53gfpmhc6aygkm6gtvpd552t2,100
cosmos14tpvrynw5a2tvl5g45w7ltx5646az5z84lxsar,38.720278
cosmos1lry362xagrsay52x6agtz2dnfckmfnlc4j7my8,294.133835
cosmos19vhmathrfgqfgecgkpz07ptlg4s8wv39cngtkk,7.646335
cosmos1v8udl8r6l6wszn0csw4nlu7y6ltutw4uffsvut,5.165781
cosmos1nxvqwef5e9k77ekz9fjh94raxfsafm0hc0vhux,3000
cosmos1sl9y59xd4qj8nwzs4ur29upmvahulgpac5jw3m,75.053051
cosmos1h0sr8ytxxucyrgqq0xgctxzkrsq4pft9s80m2z,9.936796
cosmos1ccwmnk05h0caujecpte93hp85ja4z7flzw8gfg,7.92499
cosmos1hjvnm0hgyc2j0xpftrfwxgxjmz8tuxdz8l6uap,0.42928
cosmos1v8cl93cg2wg8s63kgjusyrpg28j2sts80cd2qa,33.37892
cosmos10w0v4h3t2y8ss8gp9rfsesvyfpfnm9ah3uul8s,0.812562
cosmos1rpe3xtj3hkw40fhz6qy5tl9qu9l4r7prp4lhmj,32.956803
cosmos1xl4suqs8d3rjd0xyy6eqfmwswdkzg68sdhl8lc,34.011882
cosmos1lx466z85lxsl38ex6wv7cewt32nrejsjzptln4,193.452967
